Path,Name,N_Tracks
data/midi-classic-music/midiclassics/Albe'niz/Ti'tulo Desconocido 4.mid,Ti'tulo Desconocido 4.mid,6.0
data/midi-classic-music/midiclassics/Albe'niz/Ti'tulo Desconocido.mid,Ti'tulo Desconocido.mid,2.0
"data/midi-classic-music/midiclassics/Bacewitz/Sonata No.4 for Piano & Violin, Mov.1.mid","Sonata No.4 for Piano & Violin, Mov.1.mid",7.0
"data/midi-classic-music/midiclassics/Bacewitz/Sonata No.4 for Piano & Violin, Mov.2.mid","Sonata No.4 for Piano & Violin, Mov.2.mid",5.0
"data/midi-classic-music/midiclassics/Bacewitz/Sonata No.4 for Piano & Violin, Mov.3.mid","Sonata No.4 for Piano & Violin, Mov.3.mid",5.0
"data/midi-classic-music/midiclassics/Bacewitz/Sonata No.4 for Piano & Violin, Mov.4.mid","Sonata No.4 for Piano & Violin, Mov.4.mid",5.0
data/midi-classic-music/midiclassics/Bach/AveMaria.mid,AveMaria.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0525 Sonate en trio n1.mid,Bwv0525 Sonate en trio n1.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0526 Sonate en trio n2.mid,Bwv0526 Sonate en trio n2.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0527 Sonate en trio n3.mid,Bwv0527 Sonate en trio n3.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0528 Sonate en trio n4.mid,Bwv0528 Sonate en trio n4.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0529 Sonate en trio n5.mid,Bwv0529 Sonate en trio n5.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0530 Sonate en trio n6.mid,Bwv0530 Sonate en trio n6.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0531 Prelude and Fugue.mid,Bwv0531 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0532 Toccata and Fugue.mid,Bwv0532 Toccata and Fugue.mid,37.0
data/midi-classic-music/midiclassics/Bach/Bwv0533 Prelude and Fugue.mid,Bwv0533 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0535 Prelude and Fugue.mid,Bwv0535 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0536 Prelude and Fugue.mid,Bwv0536 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0537 Fantasia and Fugue.mid,Bwv0537 Fantasia and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0538 Toccata and Fugue ''Dorian''.mid,Bwv0538 Toccata and Fugue ''Dorian''.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0539 Prelude and Fugue.mid,Bwv0539 Prelude and Fugue.mid,4.0
data/midi-classic-music/midiclassics/Bach/Bwv0540 Toccata and Fugue.mid,Bwv0540 Toccata and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0541 Prelude and Fugue.mid,Bwv0541 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0542 Fantasia and Fugue.mid,Bwv0542 Fantasia and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0543 Prelude and Fugue.mid,Bwv0543 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0544 Prelude and Fugue.mid,Bwv0544 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0546 Prelude and Fugue.mid,Bwv0546 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0547 Prelude and Fugue.mid,Bwv0547 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0549 Prelude and Fugue.mid,Bwv0549 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0550 Prelude and Fugue.mid,Bwv0550 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0551 Prelude and Fugue.mid,Bwv0551 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0552 Prelude and Fugue ''St. Anne''.mid,Bwv0552 Prelude and Fugue ''St. Anne''.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0554 Short Prelude and Fugue n2 (Spurious).mid,Bwv0554 Short Prelude and Fugue n2 (Spurious).mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0555 Short Prelude and Fugue n3 (Spurious).mid,Bwv0555 Short Prelude and Fugue n3 (Spurious).mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0556 Short Prelude and Fugue n4 (Spurious).mid,Bwv0556 Short Prelude and Fugue n4 (Spurious).mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0557 Short Prelude and Fugue n5 (Spurious).mid,Bwv0557 Short Prelude and Fugue n5 (Spurious).mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0558 Short Prelude and Fugue n6 (Spurious).mid,Bwv0558 Short Prelude and Fugue n6 (Spurious).mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0559 Short Prelude and Fugue n7 (Spurious).mid,Bwv0559 Short Prelude and Fugue n7 (Spurious).mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0560 Short Prelude and Fugue n8 (Spurious).mid,Bwv0560 Short Prelude and Fugue n8 (Spurious).mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0561 Fantasie and Fuga.mid,Bwv0561 Fantasie and Fuga.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0563 Fantasie con imitation.mid,Bwv0563 Fantasie con imitation.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0565 Toccata and Fugue In Dm A.mid,Bwv0565 Toccata and Fugue In Dm A.mid,5.0
data/midi-classic-music/midiclassics/Bach/Bwv0565 Toccata and Fugue In Dm B.mid,Bwv0565 Toccata and Fugue In Dm B.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0566 Prelude and Fugue.mid,Bwv0566 Prelude and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0568 Prelude.mid,Bwv0568 Prelude.mid,4.0
data/midi-classic-music/midiclassics/Bach/Bwv0570 Fantasia.mid,Bwv0570 Fantasia.mid,7.0
data/midi-classic-music/midiclassics/Bach/Bwv0572 Fantasia.mid,Bwv0572 Fantasia.mid,5.0
data/midi-classic-music/midiclassics/Bach/Bwv0582 Passacaglia and Fugue (Orchestral).mid,Bwv0582 Passacaglia and Fugue (Orchestral).mid,18.0
data/midi-classic-music/midiclassics/Bach/Bwv0582 Passacaglia and Fugue.mid,Bwv0582 Passacaglia and Fugue.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0590 Pastorale.mid,Bwv0590 Pastorale.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0593 Vivaldi Concerto Arrangement RV522.mid,Bwv0593 Vivaldi Concerto Arrangement RV522.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0594 Vivaldi Concerto Arrangement RV208.mid,Bwv0594 Vivaldi Concerto Arrangement RV208.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0733 Fuga Sopra Magnificat.mid,Bwv0733 Fuga Sopra Magnificat.mid,3.0
data/midi-classic-music/midiclassics/Bach/Bwv0806 English Suite n1 01mov .mid,Bwv0806 English Suite n1 01mov .mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0806 English Suite n1 02mov .mid,Bwv0806 English Suite n1 02mov .mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0806 English Suite n1 03mov .mid,Bwv0806 English Suite n1 03mov .mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0806 English Suite n1 04mov .mid,Bwv0806 English Suite n1 04mov .mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0806 English Suite n1 05mov.mid,Bwv0806 English Suite n1 05mov.mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0806 English Suite n1 06mov .mid,Bwv0806 English Suite n1 06mov .mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0806 English Suite n1 07mov .mid,Bwv0806 English Suite n1 07mov .mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0806 English Suite n1 08mov .mid,Bwv0806 English Suite n1 08mov .mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0806 English Suite n1 09mov .mid,Bwv0806 English Suite n1 09mov .mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0806 English Suite n1 10mov .mid,Bwv0806 English Suite n1 10mov .mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0811 English Suite n6 1mov.mid,Bwv0811 English Suite n6 1mov.mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0811 English Suite n6 2mov.mid,Bwv0811 English Suite n6 2mov.mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0811 English Suite n6 3mov.mid,Bwv0811 English Suite n6 3mov.mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0811 English Suite n6 4mov.mid,Bwv0811 English Suite n6 4mov.mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0811 English Suite n6 5mov.mid,Bwv0811 English Suite n6 5mov.mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0811 English Suite n6 6mov.mid,Bwv0811 English Suite n6 6mov.mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0811 English Suite n6 7mov.mid,Bwv0811 English Suite n6 7mov.mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0811 English Suite n6 8mov.mid,Bwv0811 English Suite n6 8mov.mid,2.0
data/midi-classic-music/midiclassics/Bach/Bwv0815 French Suite n4.mid,Bwv0815 French Suite n4.mid,4.0
data/midi-classic-music/midiclassics/Bach/Bwv0816 French Suite n5.mid,Bwv0816 French Suite n5.mid,4.0
data/midi-classic-music/midiclassics/Bach/Bwv0817 French Suite n6.mid,Bwv0817 French Suite n6.mid,4.0
data/midi-classic-music/midiclassics/Bach/Bwv0906 Fantasia and Fugue.mid,Bwv0906 Fantasia and Fugue.mid,2.0
